date,camera,video_file,time,loom_no,butterfly_no,parrot_no,surg_no,chromis_pres,butterfly_fl,parrot_fl,surg_fl,chromis_fl,completion_date,completed_by,notes,roving_pres,roving_fl,fish_pres,response,,
6/11/2024,A,GX079698,04:10,47,0,2,0,n,n,n,n,n,10/1/2024,JM,a surgeonfish left frame before stimulus presentation.,y,n,y,n,,
6/11/2024,A,GX079698,05:10,48,0,0,1,n,n,n,n,n,10/1/2024,JM,a parrotfish was peripheral and did not respond. ,y,n,y,n,,
6/11/2024,A,GX079698,06:10,49,0,0,1,y,n,n,n,n,10/1/2024,JM,"1 surgeon cleary in the arena, 1 surgeon and 3 parrots on the periphery, none responded.",y,n,y,n,,
6/11/2024,A,GX079698,07:11,50,0,1,0,n,n,n,n,n,10/1/2024,JM,,y,n,y,n,,
6/11/2024,A,GX079698,08:12,51,0,1,0,n,n,n,n,n,10/1/2024,JM,"1 peripheral parrotfish, no response.",y,n,y,n,,
6/11/2024,A,GX089698,00:40,52,0,1,0,n,n,n,n,n,10/1/2024,JM,the parrotfish swam in right as the loom began and passed right in front with no response.,y,n,y,n,,
6/11/2024,A,GX089698,01:42,53,0,0,0,y,n,n,n,n,10/1/2024,JM,,n,n,y,n,,
6/11/2024,A,GX089698,02:43,54,0,0,17,y,n,n,n,n,10/1/2024,JM,"17 were in the ""arena"" but there were several more present peripheral. Total group was more than 50 individuals. No responses.",y,n,y,n,,
6/11/2024,A,GX089698,03:43,55,0,1,0,y,n,n,n,n,10/1/2024,JM,1 parrotfish in arena but borderline an swimming away. Did not respond.,y,n,y,n,,
6/11/2024,A,GX089698,04:44,56,0,0,0,y,n,n,n,n,10/1/2024,JM,2 parrotfishes peripheral with no response,n,n,y,n,,
6/11/2024,A,GX089698,05:45,57,1,0,1,n,n,n,n,n,10/1/2024,JM,"3 peripheral parrotfish, no responses.",y,n,y,n,,
6/11/2024,A,GX089698,07:48,59,0,3,0,y,n,n,n,n,10/1/2024,JM,"2 more peripheral parrotfish, no responses. ",y,n,y,n,,
6/11/2024,A,GX099698,01:15,61,0,4,1,n,n,n,n,n,10/1/2024,JM,all but one of the parrotfish were leaving the frame before the stimulus really began to loom,y,n,y,n,,
6/11/2024,A,GX099698,02:17,62,0,2,1,n,n,n,n,n,10/1/2024,JM,,y,n,y,n,,
6/11/2024,A,GX099698,03:18,63,0,1,0,y,n,n,n,n,10/1/2024,JM,parrotfish was up in the water column near the chromis. Did not respond.,y,n,y,n,,
6/11/2024,A,GX099698,04:19,64,0,5,0,y,n,n,n,n,10/1/2024,JM,,y,n,y,n,,
6/11/2024,A,GX099698,05:20,65,0,1,0,y,n,n,n,n,10/1/2024,JM,,y,n,y,n,,
6/11/2024,A,GX099698,06:21,66,0,0,0,y,n,n,n,n,10/1/2024,JM,2 parrotfishes and 1 surgeonfish peripheral with no response,n,n,y,n,,
6/11/2024,A,GX099698,07:22,67,0,4,0,y,n,n,n,n,10/1/2024,JM,1 parrotfish moved into the arena as the loom began. None of them responded.,y,n,y,n,,
6/11/2024,A,GX099698,08:23,68,0,3,0,y,n,n,n,n,10/1/2024,JM,"2 of the parrotfish swam up into the water column to eat a piece of feces, right in front of the iPad. Neither seemed to pay any attention to the stimulus.",y,n,y,n,,
6/11/2024,A,GX109698,00:52,69,0,0,0,y,n,n,n,n,10/1/2024,JM,butterflyfish and parrotfish peripheral with no response,n,n,y,n,,
6/11/2024,A,GX109698,01:53,70,0,2,0,n,n,n,n,n,10/1/2024,JM,,y,n,y,n,,
6/11/2024,A,GX109698,02:54,71,0,2,0,n,n,n,n,n,10/1/2024,JM,another parrotfish peripheral and no response.,y,n,y,n,,
6/11/2024,A,GX109698,03:54,72,0,2,2,n,n,n,n,n,10/1/2024,JM,even the surgeonfish immediately next to the iPad did not respond.,y,n,y,n,,
6/11/2024,A,GX109698,04:56,73,0,1,0,n,n,n,n,n,10/1/2024,JM,another parrotfish peripheral and no response.,y,n,y,n,,
6/11/2024,A,GX109698,05:56,74,0,1,0,y,n,n,n,n,10/1/2024,JM,another parrotfish was swimming into the arena as the loom happened but did not respond (was in front of ipad too).,y,n,y,n,,
6/11/2024,A,GX109698,06:57,75,0,3,0,n,n,n,n,n,10/1/2024,JM,,y,n,y,n,,
6/11/2024,A,GX109698,07:58,76,0,4,1,y,n,n,n,n,10/1/2024,JM,"4 parrotfish were present when loom began, but one left frame before the loom fully went (not a flight though), and the others did not respond (though the closest may have flinched a little).",y,n,y,n,,
6/11/2024,A,GX119698,0:26,77,0,1,0,n,n,n,n,n,11/21/2024,KL,,y,n,y,n,,
6/11/2024,A,GX119698,1:26,78,0,3,0,n,n,n,n,n,11/21/2024,KL,One parrotfish swimming out of arena. ,y,n,y,n,,
6/11/2024,A,GX119698,2:28,79,0,1,0,n,n,n,n,n,11/21/2024,KL,,y,n,y,n,,
6/11/2024,A,GX119698,4:30,81,0,1,1,n,n,n,n,n,11/21/2024,KL,,y,n,y,n,,
6/11/2024,A,GX119698,5:30,82,0,1,0,n,n,n,n,n,11/21/2024,KL,Parrotfish swimming into arena.,y,n,y,n,,
6/11,A,GX119698,7:31,84,0,1,0,y,n,n,n,n,11/21/2024,KL,,y,n,y,n,,
6/11/2024,A,GX129698,0:01,85,0,1,0,n,n,n,n,n,11/23/2024,KL,,y,n,y,n,,
6/11/2024,A,GX129698,1:02,86,0,1,1,n,n,n,n,n,11/23/2024,KL,,y,n,y,n,,
6/11/2024,A,GX129698,2:02,87,0,1,0,n,n,n,n,n,11/23/2024,KL,Parrotfish swimming out of arena.,y,n,y,n,,
6/11/2024,A,GX129698,5:06,90,0,1,0,n,n,n,n,n,11/23/2024,KL,,y,n,y,n,,
6/11/2024,A,GX129698,7:07,92,0,2,1,n,n,n,n,n,11/23/2024,KL,Surgeonfish swimming out of arena.,y,n,y,n,,
6/11/2024,A,GX139698,0:36,94,1,2,1,n,n,n,n,n,11/23/2024,KL,,y,n,y,n,,
6/11/2024,A,GX139698,4:40,98,0,1,2,n,n,n,n,n,11/23/2024,KL,One surgeonfish swimming out of frame. ,y,n,y,n,,
6/11/2024,A,GX139698,5:40,99,0,2,0,y,n,n,n,n,11/23/2024,KL,One parrotfish swimming out of arena. ,y,n,y,n,,
6/11/2024,A,GX139698,6:42,100,0,1,0,n,n,n,n,n,11/23/2024,KL,Parrotfish on peripheral of arena.,y,n,y,n,,
6/11/2024,A,GX149698,0:12,102,0,1,0,n,n,n,n,n,11/23/2024,KL,,y,n,y,n,,
6/11/2024,A,GX149698,1:12,103,0,0,1,n,n,n,n,n,11/23/2024,KL,,y,n,y,n,,
6/11/2024,A,GX149698,2:14,104,0,1,0,n,n,n,n,n,11/23/2024,KL,,y,n,y,n,,
6/11/2024,A,GX149698,3:14,105,0,0,1,n,n,n,n,n,11/23/2024,KL,,y,n,y,n,,
6/11/2024,A,GX149698,5:16,107,0,1,0,n,n,n,n,n,11/23/2024,KL,Parrotfish swimming out of frame. ,y,n,y,n,,
6/11/2024,A,GX149698,7:18,109,0,2,0,n,n,n,n,n,11/23/2024,KL,Parrotfish on peripheral of arena. ,y,n,y,n,,
6/11/2024,A,GX159698,0:46,111,0,0,1,n,n,n,n,n,11/23/2024,KL,,y,n,y,n,,
6/11/2024,A,GX159698,2:50,113,0,1,0,n,n,n,n,n,11/23/2024,KL,Fish in front of camera make it hard to tell when stimulus appears on iPad. ,y,n,y,n,,
6/11/2024,A,GX159698,5:52,116,0,1,0,n,n,n,n,n,11/23/2024,KL,,y,n,y,n,,
6/11/2024,A,GX169698,0:22,119,0,1,0,n,n,n,n,n,11/23/2024,KL,,y,n,y,n,,
6/11/2024,A,GX169698,3:24,122,0,2,0,y,n,n,n,n,11/23/2024,KL,,y,n,y,n,,
6/11/2024,A,GX169698,4:27,123,0,1,0,y,n,n,n,n,11/23/2024,KL,Double check if chromis are reacting. ,y,n,y,n,,
6/11/2024,A,GX169698,5:27,124,0,1,1,n,n,n,n,n,11/23/2024,KL,Surgeonfish swimming out of frame.,y,n,y,n,,
6/11/2024,A,GX169698,7:29,126,0,1,0,n,n,n,n,n,11/23/2024,KL,,y,n,y,n,,
6/11/2024,A,GX169698,8:29,127,0,1,1,y,n,n,n,n,11/23/2024,KL,Stimulus doesn't finish looming until the next video. Parrotfish on peripheral of arena.,y,n,y,n,,
6/11/2024,A,GX179698,3:00,130,0,1,0,n,n,n,n,n,11/24/2024,KL,,y,n,y,n,,
6/11/2024,A,GX179698,6:02,133,0,4,1,n,n,n,n,n,11/24/2024,KL,,y,n,y,n,,
